date,driver_number,lap_number,meeting_key,pit_duration,session_key
2023-06-16 21:41:59.382000+00:00,22,35,1212,190.2,9104
2023-06-16 21:42:23.928000+00:00,55,31,1212,24.1,9104
2023-06-16 21:42:53.522000+00:00,14,29,1212,323.5,9104
2023-06-16 21:44:05.490000+00:00,4,31,1212,25.2,9104
2023-06-16 21:45:43.442000+00:00,16,33,1212,34.9,9104
2023-06-16 21:45:48.535000+00:00,4,32,1212,26.9,9104
2023-06-16 21:45:55.582000+00:00,81,33,1212,27.0,9104
2023-06-16 21:47:59.065000+00:00,20,32,1212,60.0,9104
2023-06-16 21:48:21.284000+00:00,11,29,1212,27.3,9104
2023-06-16 21:49:25.955000+00:00,1,34,1212,389.2,9104
2023-06-16 21:49:47.986000+00:00,63,31,1212,666.3,9104
2023-06-16 21:49:55.689000+00:00,44,30,1212,707.4,9104
2023-06-16 21:51:15.594000+00:00,16,37,1212,26.6,9104
2023-06-16 21:51:21.953000+00:00,10,39,1212,26.7,9104
2023-06-16 21:51:29.719000+00:00,81,37,1212,23.6,9104
2023-06-16 21:51:50.969000+00:00,55,38,1212,24.7,9104
2023-06-16 21:52:40.062000+00:00,21,38,1212,402.6,9104
2023-06-16 21:52:48.499000+00:00,4,37,1212,31.1,9104
2023-06-16 21:53:27.468000+00:00,22,43,1212,38.3,9104
2023-06-16 21:53:45.796000+00:00,20,36,1212,26.8,9104
2023-06-16 21:53:54.421000+00:00,81,38,1212,25.2,9104
2023-06-16 21:58:40.870000+00:00,18,31,1212,641.1,9104
2023-06-16 21:58:45.839000+00:00,14,38,1212,225.4,9104
2023-06-16 21:59:16.136000+00:00,24,37,1212,616.3,9104
2023-06-16 21:59:21.011000+00:00,77,40,1212,627.0,9104
2023-06-16 21:59:23.104000+00:00,55,39,1212,352.9,9104
2023-06-16 21:59:31.573000+00:00,16,38,1212,376.1,9104
2023-06-16 21:59:56.682000+00:00,4,40,1212,158.8,9104
